dsmz_list,dsmz_risk_category,A,B,C,D,E,F,G,H,I,overall_score
HYPHOMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
HYPHOMONAS,1,-,-,1,-,-,-,-,1,-,1
IDIOMARINA,1,-,-,1,-,-,-,-,-,-,1
IGNATZSCHINERIA,1,-,-,-,-,-,-,-,-,-,1
IGNAVIGRANUM RUOFFIAE,2,-,-,2,-,-,-,-,-,-,2
ILYOBACTER,1,-,-,1,-,-,-,-,1,-,1
INFLABILIS,1,-,-,-,-,-,-,-,-,-,1
INQUILINUS,1,-,-,1,-,-,-,-,-,-,1
INSOLITISPIRILLUM,1,-,-,-,-,-,-,-,-,-,1
INTRASPORANGIUM,1,-,-,1,-,-,-,-,1,-,1
IODOBACTER,1,-,-,1,-,-,-,-,1,-,1
ISOBACULUM,1,-,-,1,-,-,-,-,-,-,1
ISOCHROMATIUM,1,-,-,1,-,-,-,-,-,-,1
ISOPTERICOLA,1,-,-,1,-,-,-,-,-,-,1
ISSATCHENKIA ORIENTALIS,-,-,2,-,-,-,-,-,-,-,2
,,,,,,,,,,,NA
JAHNELLA,1,-,-,-,-,-,-,-,-,-,1
JAHNIA,1,-,-,-,-,-,-,-,-,-,1
JANIBACTER,1,-,-,1,-,-,-,-,1,-,1
JANNASCHIA,1,-,-,1,,-,-,-,-,-,1
JANTHINOBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
JEJUANA,1,-,-,-,-,-,-,-,-,-,1
JENSENIA,1,-,-,-,-,-,-,-,-,-,1
JEOTGALIBACILLUS,1,-,-,1,-,-,-,-,-,-,1
JEOTGALICOCCUS,1,-,-,1,-,-,-,-,-,-,1
JIANGELLA,1,-,-,-,-,-,-,-,-,-,1
JOHNSONELLA IGNAVA,-,2,-,2,-,-,-,-,2,-,2
JONESIA DENITRIFICANS,2,2,-,2,-,2,-,-,2,-,2
JOOSTELLA,1,-,-,-,-,-,-,-,-,-,1
,,,,,,,,,,,NA
KAISTOBACTER,1,-,-,-,-,-,-,-,-,-,1
KANGIELLA,1,-,-,1,-,-,-,-,-,-,1
KERSTERSIA GYIORUM,2,-,-,2,-,-,-,-,-,-,2
KIBDELOSPORANGIUM,1,-,-,1,-,-,-,-,1,-,1
KILONIELLA,1,-,-,-,-,-,-,-,-,-,1
KINEOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
KINEOSPHAERA,1,-,-,1,-,-,-,-,-,-,1
KINEOSPORIA,1,-,-,1,-,-,-,-,1,-,1
KINGELLA DENITRIFICANS,2,2,2,2,-,OP,-,-,2,-,2
KINGELLA KINGAE,2,2,-,2,-,OP,-,-,2,-,2
KINGELLA ORALIS,2,2,-,2,-,OP,-,-,2,-,2
KINGELLA POTUS,2,-,-,-,-,OP,-,-,-,-,2
KITASATOA,1,-,-,-,-,-,-,-,1,-,1
KITASATOSPORA,1,-,-,1,-,-,-,-,1,-,1
KITASATOSPORIA,1,-,-,-,-,-,-,-,-,-,1
KLEBSIELLA GRANULOMATIS,-,-,-,2,2,2,2,2,2,2,2
KLEBSIELLA MOBILIS,-,-,-,2,2,2,2,2,2,2,2
KLEBSIELLA OXYTOCA,2,2,2,2,2,2,2,2,2,2,2
KLEBSIELLA PNEUMONIAE,2,2,2,2,2,2,2,2,2,2,2
KLEBSIELLA VARIICOLA,2,-,-,2,2,2,2,2,-,2,2
KLOECKERA APICULATA,-,-,1,-,-,-,-,-,-,-,1
KLUGIELLA ASCORBATA,1,-,-,-,-,-,-,-,-,-,1
KLUYVERA ASCORBATA,-,2,-,2,-,-,-,-,2,-,2
KLUYVERA CRYOCRESCENS,2,2,-,2,-,-,-,-,2,-,2
KLUYVERA INTERMEDIA,2,2,-,-,-,-,-,-,-,-,2
KNOELLIA,1,-,-,1,-,-,-,-,-,-,1
KOCURIA,1,-,1,1,-,-,-,-,1,-,1
KOFLERIA,1,-,-,-,-,-,-,-,-,-,1
KOSERELLA TARBULSII,1,2,-,2,-,-,-,-,2,-,1
KOZAKIA,1,-,-,1,-,-,-,-,-,-,1
KRASILNIKOVIA,1,-,-,-,-,-,-,-,-,-,1
KRIBBELLA,1,-,-,1,-,-,-,-,-,-,1
KRIBBIA,1,-,-,-,-,-,-,-,-,-,1
KRIEGELLA,1,-,-,-,-,-,-,-,-,-,1
KTEDOBACTER,1,-,-,-,-,-,-,-,-,-,1
KTEDONOBACTER,1,-,-,-,-,-,-,-,-,-,1
KURTHIA,1,-,-,1,-,-,-,-,1,-,1
KUSHNERIA,1,-,-,-,-,-,-,-,-,-,1
KUTZNERIA,1,-,-,1,-,-,-,-,1,-,1
KYTOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
,,,,,,,,,,,NA
LABEDELLA,1,-,-,-,-,-,-,-,-,-,1
LABRENZIA,1,-,-,-,-,-,-,-,-,-,1
LABRYS,1,-,-,1,-,-,-,-,1,-,1
LACEYELLA,1,-,-,-,-,-,-,-,-,-,1
LACHNOBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
LACHNOSPIRA,1,-,-,1,-,-,-,-,1,-,1
LACTOBACILLUS CARNIS,1,2,1,-,-,-,-,-,-,-,1
LACTOBACILLUS CATENAFORMIS,1,2,1,2,-,-,-,-,2,-,1
LACTOBACILLUS CRISPATUS,1,2,1,1,-,-,-,-,1,-,1
LACTOBACILLUS GASSERI,1,2,1,1,-,-,-,-,1,-,1
LACTOBACILLUS PSITTACI,-,-,-,2,-,-,-,-,-,-,2
LACTOBACILLUS RHAMNOSUS,1,2,1,2,-,-,-,-,2,-,1
LACTOBACILLUS TRICHODES,1,2,1,-,-,-,-,-,1,-,1
LACTOBACILLUS ULI,-,-,-,-,-,-,-,-,2,-,2
LACTOBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
LACTOCOCCUS GARVIAE,-,2,-,2,-,-,-,-,2,-,2
LACTOCOCCUS LACTIS,-,2,-,1,-,-,-,-,1,-,1
LACTOCOCCUS PSITTACI,2,-,-,-,-,-,-,-,-,-,2
LACTOCOCCUS RHAMNOSUS,2,-,1,-,-,-,-,-,-,-,1
LACTONIFACTOR,1,-,-,-,-,-,-,-,-,-,1
LACTOSPHAERA,1,-,-,-,-,-,-,-,1,-,1
LACTOVUM,1,-,-,-,-,-,-,-,-,-,1
LAMPROCYSTIS,1,-,-,1,-,-,-,-,1,-,1
LAMPROPEDIA,1,-,-,1,-,-,-,-,1,-,1
LAPILLICOCCUS,1,-,-,-,-,-,-,-,-,-,1
LARIBACTER,1,-,-,1,-,-,-,-,-,-,1
LAUTROPIA,1,-,-,1,-,-,-,-,1,-,1
LAWSONIA INTRACELLULARIS,-,-,-,2,-,-,-,-,2,-,2
LEADBETTERELLA,1,-,-,-,-,-,-,-,-,-,1
LEBETIMONAS,1,-,-,-,-,-,-,-,-,-,1
LECHEVALIERIA,1,-,-,1,-,-,-,-,-,-,1
LECLERCIA ADECARBOXYLATA,2,2,1,2,-,-,-,-,2,-,2
LEEIA,1,-,-,-,-,-,-,-,-,-,1
LEEUWENHOEKIELLA,1,-,-,-,-,-,-,-,-,-,1
LEGIONELLA ANISA,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA BIRMINGHAMENSIS,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA CINCINNATIENSIS,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA FEELEII,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA HACKELIAE,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA IMPLETISOLI,2,-,-,-,2,2,2,2,-,2,2
LEGIONELLA JORDANIS,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA LANSINGENSIS IANTHELENSI,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA LONGBEACHAE,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA PITSBURGHENSIS,-,2,-,-,2,2,2,2,-,2,2
LEGIONELLA PNEUMOPHILA,2,2,2,2,2,2,2,2,2,2,2
LEGIONELLA SIANTHELENSI,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA TUCSONENSIS,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA WADSWORTHII,2,2,-,2,2,2,2,2,2,2,2
LEGIONELLA YABUUCHIAE,2,-,-,-,2,2,2,2,-,2,2
LEIFSONIA SP.,2,-,-,1,-,-,-,-,-,-,2
LEISINGERA,1,-,-,1,-,-,-,-,-,-,1
LEMINORELLA,1,-,-,1,-,-,-,-,1,-,1
LENTIBACILLUS,1,-,-,1,-,-,-,-,-,-,1
LENTZEA,1,-,-,1,-,-,-,-,1,-,1
LEPTOLINEA,1,-,-,1,-,-,-,-,-,-,1
LEPTONEMA,1,-,-,1,-,-,-,-,1,-,1
LEPTOSPIRA ALEXANDERI,-,-,-,-,-,-,-,-,2,-,2
LEPTOSPIRA BORGPETERSENII,2,2,-,2,-,-,-,-,2,-,2
LEPTOSPIRA INADAI,-,2,-,2,-,-,-,-,2,-,2
LEPTOSPIRA GENOMOSPECIES 4,2,-,-,-,-,-,-,-,-,-,2
LEPTOSPIRA GENOMOSPECIES 5,2,-,-,-,-,-,-,-,-,-,2
LEPTOSPIRA INTERROGANS,2,2,-,2,2,2  3,2,2,2,2,2
LEPTOSPIRA KIRSCHNERI,2,2,-,2,-,-,-,-,2,-,2
LEPTOSPIRA NOGUCHII,2,2,-,2,-,-,-,-,2,-,2
LEPTOSPIRA SANTAROSAI,2,2,-,2,-,-,-,-,2,-,2
LEPTOSPIRA WEILII,-,2,-,2,-,-,-,-,2,-,2
LEPTOSPIRILLUM,1,-,-,1,-,-,-,-,-,-,1
LEPTOTHRIX,1,-,-,1,-,-,-,-,1,-,1
LEPTOTRICHIA AMNIONII,2,-,-,-,-,-,-,-,1,-,2
LEUCOBACTER,1,-,-,1,-,-,-,-,1,-,1
LEUCONOSTOC,1,-,-,1,-,-,-,-,1,-,1
LEVILINEA,1,-,-,-,-,-,-,-,-,-,1
LEVINEA MALONATICA,1,2,-,-,-,-,-,-,2,-,1
LIMNOBACTER,1,-,-,1,-,-,-,-,-,-,1
LISTERIA INNOCUA,-,2,-,1,-,-,-,-,1,-,2
LISTERIA IVANOVII,2,2,2,2,2,2,2,2,2,2,2
LISTERIA MONOCYTOGENES,2,2,2,2,2,2,2,2,2,2,2
LISTONELLA ANGUILLARUM,2,2,-,2,-,2,-,-,2,-,2
LOKTANELLA,1,-,-,1,-,-,-,-,-,-,1
LONEPINELLA,1,-,-,1,-,-,-,-,1,-,1
LONGISPORA,1,-,-,1,-,-,-,-,-,-,1
LOPHOMONAS,1,-,-,-,-,-,-,-,-,-,1
LUCIBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
LUEDEMANNELLA,1,-,-,-,-,-,-,-,-,-,1
LUTEIBACTER,1,-,-,-,-,-,-,-,-,-,1
LUTEIMONAS,1,-,-,1,-,-,-,-,-,-,1
LUTEOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
LUTISPORA,1,-,-,-,-,-,-,-,-,-,1
LYSINIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
LYSOBACTER,1,-,-,1,-,-,-,-,1,-,1
,,,,,,,,,,,NA
MACROCOCCUS CASEOLYTICUS,2,-,2,2,-,-,-,-,-,-,2
MACROMONAS,1,-,-,1,-,-,-,-,1,-,1
MAGNETOSPIRILLUM,1,-,-,1,-,-,-,-,1,-,1
MAHELLA,1,-,-,-,-,-,-,-,-,-,1
MALIKIA,1,-,-,-,-,-,-,-,-,-,1
MALONOMONAS,1,-,-,1,-,-,-,-,1,-,1
MANJUSHARMELLA,1,-,-,-,-,-,-,-,-,-,1
MANNHEIMIA GLUCOSIDA,-,-,-,-,-,-,-,-,2,-,2
MANNHEIMIA HAEMOLYTICA,2,2,2,2,-,-,-,-,2,-,2
MANNHEIMIA RUMINALIS,-,-,-,-,-,-,-,-,2,-,2
MANNHEIMIA VARIGENA,2,-,-,2,-,-,-,-,2,-,2
MARIBACTER,1,,-,1,-,-,-,-,-,-,1
MARICAULIS,1,-,-,-,-,-,-,-,-,-,1
MARICHROMATIUM,1,-,-,1,-,-,-,-,-,-,1
MARIHABITANS,1,-,-,-,-,-,-,-,-,-,1
MARINIBACILLUS,1,-,-,1,-,-,-,-,-,-,1
MARINIFLEXILE,1,-,-,-,-,-,-,-,-,-,1
MARINILABILIA,1,-,-,1,-,-,-,-,1,-,1
MARINILACTIBACILLUS,1,-,-,1,-,-,-,-,-,-,1
MARINIMICROBIUM,1,-,-,-,-,-,-,-,-,-,1
MARINITHERMUS,1,-,-,1,-,-,-,-,-,-,1
MARINITOGA,1,-,-,1,-,-,-,-,-,-,1
MARINOBACTER,1,-,-,1,-,-,-,-,1,-,1
MARINOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
MARINOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
MARINOMONAS,1,-,-,1,-,-,-,-,1,-,1
MARINOSPIRILLUM,1,-,-,1,-,-,-,-,-,-,1
MARINOVUM,1,-,-,-,-,-,-,-,-,-,1
MARMORICOLA,1,-,-,1,-,-,-,-,-,-,1
MARTELELLA,1,-,-,-,-,-,-,-,-,-,1
MARVINBRYANTIA,1,-,-,-,-,-,-,-,-,-,1
MASSILIA,1,-,-,1,-,-,-,-,-,-,1
MECHERCHARIMYCES,1,-,-,-,-,-,-,-,-,-,1
MECHERCHAROMYCES,1,-,-,-,-,-,-,-,-,-,1
MEGAMONAS,1,-,-,1,-,-,-,-,1,-,1
MEGANEMA,1,-,-,-,-,-,-,-,-,-,1
MEIOTHERMUS,1,-,-,1,-,-,-,-,1,-,1
MELISSOCOCCUS PLUTONIUS,-,2,-,-,-,3,-,-,2,-,2
MELITEA,1,-,-,-,-,-,-,-,-,-,1
MELITTANGIUM,1,-,-,-,-,-,-,-,1,-,1
MESOFLAVIBACTER,1,-,-,-,-,-,-,-,-,-,1
MESONIA,1,-,-,1,-,-,-,-,-,-,1
MESOPHILOBACTER,1,-,-,1,-,-,-,-,1,-,1
MESORHIZOBIUM,1,-,-,1,-,-,-,-,1,-,1
METASCARDOVIA,1,-,-,-,-,-,-,-,-,-,1
METHANOMONAS,1,-,-,-,-,-,-,-,-,-,1
METHYLIBIUM,1,-,-,-,-,-,-,-,-,-,1
METHYLOBACILLUS,1,-,-,1,-,-,-,-,1,-,1
METHYLOBACTER,1,-,-,1,-,-,-,-,-,-,1
METHYLOBACTERIUM,1,-,1,1,-,-,-,-,1,-,1
METHYLOCAPSA,1,-,-,1,-,-,-,-,-,-,1
METHYLOCELLA,1,-,-,1,-,-,-,-,-,-,1
METHYLOCYSTIS,1,-,-,1,-,-,-,-,1,-,1
METHYLOHALOBIUS,1,-,-,-,-,-,-,-,-,-,1
METHYLOHALOMONAS,1,-,-,-,-,-,-,-,-,-,1
METHYLOMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
METHYLOMONAS,1,-,-,1,-,-,-,-,1,-,1
METHYLONATRUM,1,-,-,-,-,-,-,-,-,-,1
METHYLOPHAGA,1,-,-,1,-,-,-,-,1,-,1
METHYLOPHILA,1,-,-,1,-,-,-,-,-,-,1
METHYLOPHILUS,1,-,-,1,-,-,-,-,1,-,1
METHYLOPILA,1,-,-,1,-,-,-,-,-,-,1
METHYLOSARCINA,1,-,-,1,-,-,-,-,-,-,1
METHYLOSINUS,1,-,-,1,-,-,-,-,1,-,1
METHYLOVORUS,1,-,-,1,-,-,-,-,1,-,1
MICROBACTERIUM RESISTENS,2,-,-,2,-,-,-,-,-,-,2
MICROBISPORA,1,-,-,1,-,-,-,-,1,-,1
MICROBULBIFER,1,-,-,1,-,-,-,-,1,-,1
MICROCELLA,1,-,-,-,-,-,-,-,-,-,1
MICROCOCCINEAE,1,-,-,-,-,-,-,-,-,-,1
MICROCOCCUS,1,-,1,1,-,-,-,-,1,-,1
MICROCYCLUS,1,-,-,-,-,-,-,-,-,-,1
MICROECHINOSPORA,1,-,-,-,-,-,-,-,-,-,1
MICROELLOBOSPORIA,1,-,-,-,-,-,-,-,-,-,1
MICROLUNATUS,1,-,-,1,-,-,-,-,1,-,1
MICROMONAS MICROS,1,2,1,2,-,-,-,-,-,-,2
MICROMONOSPORA,1,-,-,1,-,-,-,-,1,-,1
MICROPOLYSPORA,1,-,-,1,-,-,-,-,1,-,1
MICROPRUINA,1,-,-,1,-,-,-,-,-,-,1
MICROSCILLA,1,-,-,1,-,-,-,-,1,-,1
MICROSPHAERA,1,-,-,-,-,-,-,-,1,-,1
MICROSTREPTOSPORA,1,-,-,-,-,-,-,-,-,-,1
MICROTERRICOLA MULTACIDA,1,-,-,-,-,-,-,-,-,-,1
MICROTETRASPORA,1,-,-,1,-,-,-,-,1,-,1
MICROVIRGA,1,-,-,1,-,-,-,-,-,-,1
MICROVIRGULA AERODENITRIFICANS,1,-,-,1,-,-,-,-,2,-,1
MILLISIA,1,-,-,-,-,-,-,-,-,-,1
MITSUOKELLA,2,2,-,2,-,-,-,-,2,-,2
MOBILUNCUS CURTISII,2,2,-,2,-,-,-,-,2,-,2
MOBILUNCUS MULIERIS,2,2,-,2,-,-,-,-,2,-,2
MODESTOBACTER,1,-,-,1,-,-,-,-,-,-,1
MOELLERELLA WISCONSENSIS,2,2,-,1,-,-,-,-,2,-,1
MOGIBACTERIUM PUMILUM,-,-,-,2,-,-,-,-,-,-,2
MOGIBACTERIUM TIMIDUM,2,2,-,2,-,-,-,-,-,-,2
MOGIBACTERIUM VESCUM,-,-,-,2,-,-,-,-,-,-,2
MOORELLA,1,-,-,1,-,-,-,-,2,-,1
MORAXELLA ATLANTAE,2,2,-,2,-,2,-,-,2,-,2
MORAXELLA CAPRAE,-,-,-,-,-,-,-,-,2,-,2
MORAXELLA CATARRHALIS,2,2,1,2,-,2,-,-,2,2,2
MORAXELLA EQUI,2,2,-,2,-,2,-,-,2,-,2
MORAXELLA LACUNATA,2,2,-,2,-,2,-,-,2,-,2
MORAXELLA NONLIQUEFACIENS,2,2,-,2,-,2,-,-,2,-,2
MORAXELLA OSLOENSIS,2,2,-,2,-,2,-,-,2,-,2
MORAXELLA OVIS,2,2,-,2,-,2,-,-,2,-,2
MORAXELLA SACCHAROLYTICA,-,2,-,2,-,2,-,-,2,-,2
MORGANELLA MORGANII,2,2,2,2,2,2,2,2,2,2,2
MORGANELLA PSYCHROTOLERANS,2,-,-,-,-,-,-,-,-,-,2
MORITELLA,1,-,-,1,-,-,-,-,1,-,1
MOROCOCCUS CEREBROSUS,-,2,-,2,-,-,-,-,2,-,2
MORYELLA INDOLIGENES,2,-,-,-,-,-,-,-,-,-,2
MUCILAGINIBACTER,1,-,-,-,-,-,-,-,-,-,1
MURICAUDA,1,-,-,1,-,-,-,-,-,-,1
MURICOCCUS,1,-,-,1,-,-,-,-,-,-,1
MYCELIGENERANS,1,-,-,1,-,-,-,-,-,-,1
MYCETOCOLA,1,-,-,1,-,-,-,-,-,-,1
MYCOBACTERIUM ABSCESSUS,-,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM AFRICANUM,-,3,-,3,3,3,3,3,3,3,3
MYCOBACTERIUM AROSIENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM ARUPENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM ASIATICUM,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM AVIUM,2,2,2,2,2,2  3,2,2,2,2,2
MYCOBACTERIUM BOENICKEI,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM BOVIS,-,3,-,3,3,3,3,3,3,3,3
MYCOBACTERIUM BRANDERI,2,-,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM BRISBANENSE,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM CANARIASENSE,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM CELATUM,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM CHELONAE,2,2,-,2,2,2,2,2,2,2,2
MYCOBACTERIUM CHIMAERA,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM COLOMBIENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM CONCEPTIONENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM CONCORDENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM CONSPICUUM,2,-,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM COSMETICUM,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM ELEPHANTIS,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM FURTH,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM FARCINOGENES,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM FLAVESCENS,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM FORTUITUM,2,2,2,2,2,2,2,2,2,2,2
MYCOBACTERIUM GASTRI,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM GENAVENSE,-,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM GOODII,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM GORDONAE,-,-,2,1,-,-,-,-,1,-,2
MYCOBACTERIUM HACKENSACKENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM HAEMOPHILUM,2,2,-,2,-,OP,-,-,2,-,2
MYCOBACTERIUM HECKESHORNENSE,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM HEIDELBERGENSE,2,-,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM HOUSTONENSE,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM INSUBRICUM,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM INTERJECTUM,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM INTERMEDIUM,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM INTRACELLULARE,2,2,2,2,-,2,2,-,2,-,2
MYCOBACTERIUM KANSASII,2,2,2,2,2,2,2,2,2,2,2
MYCOBACTERIUM KUBICAE,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM KUMAMOTONENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM LENTIFLAVUM,2,-,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM LEPRAE,-,3,-,3,3,3,3,3,3,3,3
MYCOBACTERIUM LEPRAEMURIUM,-,2,-,2,-,3,-,-,2,-,2
MYCOBACTERIUM MALMOENSE,2,2,-,2,2,2,2,2,2,3,2
MYCOBACTERIUM MANITOBENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM MARINUM,2,2,-,2,2,2,2,2,2,2,2
MYCOBACTERIUM MASSILIENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM MICROTI,-,3,-,3,3,3,3,3,3,3,3
MYCOBACTERIUM MONACENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM MONTEFIORENSE,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM MUCOGENICUM,2,-,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM NEWORLEANSENSE,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM NOVOCASTRENSE,2,-,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM PALUSTRE,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM PARASCROPHULACEUM,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM PARASEOULENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM PARATUBERCULOSIS,2,2,-,-,2,-,-,2,-,2,2
MYCOBACTERIUM PEREGRINUM,-,-,2,1,-,-,-,-,1,-,2
MYCOBACTERIUM PHOCAICUM,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM PORCINUM,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM PSEUDOSHOTTSII,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM SALMONIPHILUM,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM SASKATCHEWANENSE,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM SCROFULACEUM,2,2,-,2,2,2,2,2,2,2,2
MYCOBACTERIUM SENEGALENSE,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM SENUENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM SEOULENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM SEPTICUM,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM SETENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM SHIMOIDEI,2,2,-,2,-,2,-,-,2,-,2
MYCOBACTERIUM SHOTTSII,2,-,-,2,-,-,-,-,-,-,2
MYCOBACTERIUM SIMIAE,2,2,-,2,2,2,2,2,2,2,2
MYCOBACTERIUM SMEGMATIS,2,-,1,2,-,-,-,-,1,-,2
MYCOBACTERIUM SZULGAI,2,2,-,2,2,2,2,2,2,3,2
MYCOBACTERIUM TOGOLENSE,2,-,-,-,-,-,-,-,-,-,2
MYCOBACTERIUM TRIPLEX,2,-,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM TUBERCULOSIS,-,3,2,3,3,3,3,3,3,3,3
MYCOBACTERIUM ULCERANS,-,3,-,3,3,3,3,3,3,3,3
MYCOBACTERIUM VACCAE,2,2,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM WOLINSKYI,2,-,-,2,-,-,-,-,2,-,2
MYCOBACTERIUM XENOPI,2,2,-,2,2,2,2,2,2,2,2
MYCOPLANA,1,-,-,1,-,-,-,-,1,-,1
MYCOPLASMA ADLERI,2,2,-,2,-,-,-,-,2,-,2
MYCOPLASMA AGALACTIAE,-,2,-,2,-,3,-,-,2,-,2
MYCOPLASMA ALKALESCENS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA ANATIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA ARGININI,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA ARTHRITIDIS,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA BOVIGENITALIUM,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA BOVIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA BOVOCULI,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA BUTEONIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA CALIFORNICUM,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA CANADENSE,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA CANIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA CAPRICOLUM,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA CAVIAE,-,2,-,2,2,2,2,-,2,2,2
MYCOPLASMA CLOACALE,-,2,-,-,-,2,-,-,1,-,1
MYCOPLASMA COCCOIDES,-,2,-,-,-,2,-,-,-,-,2
MYCOPLASMA COLLIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA COLUMBINASALE,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA CONJUNCTIVAE,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA COROGYPSI,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA CYNOS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA DISPAR,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA EDWARDII,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA EQUIGENITALIUM,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA EQUIRHINIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA FALCONIS,-,2,-,2,-,2,-,-,2,-,2
