Habitat	IJSEM year	article doi	16S rDNA accession number	DNA GC content (mol%)	oxygen preference	mean length (microns)	mean width (microns)	motility	spore production	Metabolism assays	Genus name	species name	strain name	pH optimum for growth	pH range at which growth occurred	temperature optimum for growth (degC)	temperature range at which growth occurred (degC)	optimal NaCl concentration for growth (%)	NaCl concentration range at which growth occurred (%)	pigment production	cell shape	cell aggregation	article first page	culture collection codes	Sole carbon substrate use	genome accession number	gram status	"If 'other' was chosen above, please enter a habitat below"	The paper included Biolog results
other	2011	10.1099/ijs.0.023002-0	FN665659	42	facultative anaerobe	1.75	0.5	non-motile	not indicated	"catalase positive, oxidase positive"	Hydrotalea	flava	CCUG 51397T				25-30		<4.0	yes	rod	not indicated	518	CCM7760T	"cellobiose, fructose, galactose, melibiose, rhamnose"		negative	water sample	No
"freshwater sediment (river, lake, pond"	2012	10.1099/ijs.0.032250-0	FN675262	63.8	anaerobic	4	0.65	flagella	not indicated		Phaeospirillum	tilakii	JA492	6.25	05/09/14	30	25-35	Not required for growth	Not indicated	yes	spirillum/corkscrew	not indicated	1069	NBRC=107650|KCTC=15012	"lactate, malate, propionic acid (propionate), valerate"		NA		No
wastewater	2013	10.1099/ijs.0.049759-0	FN686779	58	facultative anaerobe	1.5	1.5	not indicated	no		Acidithiobacillus	ferridurans	JCM 18981	2.1		29				yes	rod	not indicated	4018	ATCC33020			negative		No
other	2012	10.1099/ijs.0.035154-0	FN689718	53.9	aerobic	2.5	0.9	non-motile	yes	"gelatinase, oxidase positive"	Paenibacillus	chartarius	CCUG 55240	6.5	5.5-7.5	30	15-45	Not indicated	1-3%	yes	rod	not indicated	1342	CCM=7759	"cellobiose, fructose, galactose, gluconic acid, glucose, maltose, mannitol, mannose, rhamnose, salicin, sucrose, trehalose, xylose"		positive	Paper mill	No
other	2011	10.1099/ijs.0.024778-0	FN690978	42.9	aerobic	1	3.75	"motile, but unspecified structure"	yes	"aesculin hydrolysis, catalase positive, gelatinase, oxidase positive"	Thalassobacillus	pellis	18OMT	7.5	05-Sep	37	15-45	10	.5-25	no	rod	chain	1206	CECT7566T|DSM22784T|JCM16412T	"acetate, alanine, alanine, arginine, cellobiose, citric acide (citrate), ethanol, fructose, galactose, gelatin, glucose, glycerol, lactose, maltose, mannitol, mannose, melibiose, myo-inositol, phenylalanine, propionic acid (propionate), raffinose, ribose, salicin, serine, sorbitol, sucrose, threonine, trehalose, tryptophan, xylitol, xylose"		positive	salted hide	No
"freshwater (river, lake, pond)"	2012	10.1099/ijs.0.038257-0	FN822765	Not indicated	facultative anaerobe	Not indicated	Not indicated	not indicated	no	"aesculin hydrolysis, gelatinase, tellurite reductase"	Enterococcus	rivorum	S299	Not indicated	Not indicated	Not indicated	35-45	Not indicated	Growth at 6.5%	yes	cocci	not indicated	2169	HAMBI=3055|LMG=25899|CCM=7986	"mannitol, sorbitol, sucrose"		positive		No
seawater	2012	10.1099/ijs.0.029447-0	FN908483	Not indicated	aerobic	0.8-1.9	0.5-0.9	flagella	not indicated	"catalase positive, oxidase positive"	Pseudomonas	litoralis	2SM5	Not indicated	Not indicated	Not indicated	15 and 37	Not indicated	Up to 15%	yes	rod	none	438	CECT=7670|KCTC=23093	"acetate, alanine, glutamic acid, lactate, malate, propionic acid (propionate), pyruvic acid (pyruvate), succinic acid (succinate), Tween 80"		negative		Yes
other	2012	10.1099/ijs.0.036327-0	FN908501	44.2	aerobic	1.7	0.65	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Sphingobacterium	lactis	WCC 4512	Not indicated	06/09/14	Not indicated	Oct-41	Not indicated	0-5%	yes	rod	not indicated	1506	DSM=22361|LMG=25272	"adonitol, arabinose, cellobiose, fructose, glucose, glycogen, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, salicin, sucrose, trehalose"		negative	Raw milk	No
other	2012	10.1099/ijs.0.036327-0	FN908502	39.3	aerobic	1.75	0.8	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Sphingobacterium	alimentarium	WCC 4521	Not indicated	06/09/14	Not indicated	Oct-41	Not indicated	0-3%	yes	rod	not indicated	1506	DSM=22362|LMG=25273	"cellobiose, fructose, glucose, glycogen, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, salicin, sucrose, trehalose"		negative	Raw milk	No
soil	2013	10.1099/ijs.0.034447-0	FN994890	61.5	facultative anaerobe	2.25	0.75	"motile, but unspecified structure"	not indicated	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive"	Amantichitinum	ursilacus	IGB-41	7	06-Sep	22.5	Oct-35	0		yes	rod	not indicated	98	DSM23761|CIP110167	"arabinose, arabitol, cellobiose, citric acide (citrate), fructose, galactose, glucose, glycogen, lactose, maltose, mannitol, mannose, N-acetylgulcosamine, rhamnose, ribose, salicin, sucrose, Tween 80, xylose"		negative		Yes
"freshwater (river, lake, pond)"	2013	10.1099/ijs.0.046409-0	FN995218	64.2	facultative anaerobe	3.25	1.3	"motile, but unspecified structure"	yes		Rhodomicrobium	udaipurense	JA643	7	5.5-8.0	30	Oct-40	0	0-0.5	yes	rod	not indicated	2684	KCTC15219|NBRC109057	"acetate, aspartic acid (aspartate), butanol, formic acid, glutamic acid, lactate, malate, malonic acid (malonate), propionic acid (propionate), pyruvic acid (pyruvate), succinic acid (succinate), valerate"		negative		Yes
other	2012	10.1099/ijs.0.035287-0	FN995238	71	NA	4	1	flagella	no	"oxidase positive, urease positive"	Caenispirillum	salinarum	AK4	7.5	Not indicated	Not indicated	30-35	3%	No growth without NaCl but no greater than 8%	yes	ovoid/coccobacillus	not indicated	1698	MTCC=10963|JCM=17360			negative	Solar saltern	No
food product	2012	10.1099/ijs.0.027771-0	FN995265	36.4	aerobic	3/13/2014	0.5-0.8	"motile, but unspecified structure"	yes	"acid phosphatase, alkaline phosphatase, catalase positive, gelatinase"	Bacillus	kochii	WCC 4582	7	6-10.5	30	Oct-40	0.50%	0-10%	yes	rod	not indicated	1092	DSM=23667|CCUG=59877|LMG=25855	"3-hydroxybutyrate, 3-hydroxybenzoate, acetate, alanine, citric acide (citrate), gluconic acid, itaconate, malate, phenylacetate, proline, propionic acid (propionate), ribose, serine, Tween 20, Tween 40, Tween 60, Tween 80, valerate"		positive		No
other	2013	10.1099/ijs.0.036277-0	FN995266	38.7	aerobic	6.5	0.75	"motile, but unspecified structure"	yes	"aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite"	Bacillus	gottheilii	WCC 4585	8	7-9.5	30	Oct-40	0.5	0-8.5	NA	rod	none	867	DSM23668|CCUG59876|LMG25856	"2-ketogluconate, gluconic acid, malate, maltose"		positive	pharmaceutical manufacturing site	Yes
"freshwater (river, lake, pond)"	2012	10.1099/ijs.0.036210-0	FN995635	73.4	aerobic		1	not indicated	not indicated	catalase positive	Georgenia	satyanarayanai	JC82	8.5	04/12/14	37		2	Up to 5%	yes	ovoid/coccobacillus	not indicated	2405	KCTC=19802|NBRC=107612	"2,3-butanediol, acetate, alpha-ketovaleric acid, arabinose, cellobiose, dextrin, fructose, galactose, galcturonic acid, gluconic acid, glucose, glycerol, glycogen, inosine, malate, maltose, mannose, pyruvic acid (pyruvate), pyruvic acid methyl ester, ribose, salicin, sorbitol, sucrose, thymidine, trehalose, uridine, xylose"		positive		No
other	2013	10.1099/ijs.0.048223-0	FN999943	37.6	aerobic	1.5		"motile, but unspecified structure"	yes	"catalase positive, gelatinase, urease positive"	Bacillus	paraflexus	RC2	7	05-Nov	30	15-42		02-Oct	no	rod	none	4735	MTCC9831|MCC2100|ду_KCTC13724|CCM7754	"fructose, glucose, melibiose, ornithine, raffinose, salicin, sucrose, trehalose"		positive	compost	Yes
other	2012	10.1099/ijs.0.028605-0	FR666703	36.5	aerobic	3.5	0.5	non-motile	yes	"catalase positive, gelatinase, oxidase positive"	Bacillus	purgationiresistans	DS22	7.0-8.0	7.0-10.0	30	15-37	1-3%	<8%	yes	rod	not indicated	71	DSM=23494|NRRL=B-59432|LMG=25783	Tween 80		positive	Drinking-water treatment plant	No
other	2012	10.1099/ijs.0.031898-0	FR666706	60.7	aerobic	1.7-4.0	0.7-1.0	non-motile	not indicated	"acid phosphatase, catalase positive, nitrate reduction to nitrite"	Bryocella	elongata	SN10	4.7-5.2	3.2-6.6	20-24	Jun-32	Not indicated	Up to 3%	yes	rod	not indicated	654	LMG=25276|DSM=22489	"cellobiose, ethanol, fructose, galactose, glucose, lactate, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, sucrose, xylose"		negative	Peat	No
other	2013	10.1099/ijs.0.036665-0	FR681902	45.4	facultative anaerobe	1.19	0.47	non-motile	no	aesculin hydrolysis	Lactobacillus	pasteurii	1517	6.5	04/08/14	41	30-45	1.5	0-3	NA	rod	chain	53	RBIP24.76|DSM23907	"cellobiose, fructose, glucose, maltose, mannitol, mannose, N-acetylgulcosamine, ribose, salicin, sucrose"		positive	unknown origin	Yes
other	2012	10.1099/ijs.0.033803-0	FR682077	31	NA			not indicated	not indicated		Mycoplasma	neophronis	G.A.							NA	not indicated	not indicated	1321	DSM=24097|ATCC=BAA-2157	arginine		NA	Vultures	No
estuarine sediment	2013	10.1099/ijs.0.054155-0	FR686494	24.6	anaerobic	1.5	0.2	non-motile	no	"H2S production, nitrate reduction to nitrite, oxidase positive"	Arcobacter	anaerophilus	JC84	7.5	07-Oct	30	25-37	2	0-6	yes	rod	clump	4619	KCTC15071|MTCC10956|DSM24636	"acetate, arabinose, arabitol, cellobiose, inosine, lactose, mannose, melibiose, phenethylamine"		negative		Yes
seawater	2013	10.1099/ijs.0.043919-0	FR687202	45.6	aerobic	5	0.75	non-motile	no	"alpha-galactosidase, catalase positive, oxidase positive"	Mariniradius	saccharolyticus	AK6	"7,5"	07-Aug	33.5	25-42	2	0-4	yes	rod	clump	2088	MTCC11279|JCM17389	"arabinose, fructose, glucose, mannose, raffinose, sucrose, xylose"		negative		Yes
soil	2013	10.1099/ijs.0.045906-0	FR692094	69.2	aerobic	0.7	0.6	not indicated	yes	"aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite"	Streptomyces	chlorus	BK125	7	05-Sep	30	Oct-42			yes	rod	chain	1728	KACC20902|CGMCC4.5798	"arabitol, citric acide (citrate), lactate, malate, maltose, melibiose, propionic acid (propionate), pyruvic acid (pyruvate), sorbitol, succinic acid (succinate)"		positive		Yes
soil	2012	10.1099/ijs.0.036384-0	FR692095	69.2	aerobic	Not indicated	Not indicated	not indicated	yes	"aesculin hydrolysis, gelatinase"	Streptomyces	incanus	BK128	Not indicated	05/10/14	Not indicated	Oct-37	Not indicated	Not indicated	NA	not indicated	not indicated	1908	KACC=21002|CGMCC=4.5799	"arabitol, maltose, melibiose, sorbitol"		positive		No
soil	2012	10.1099/ijs.0.036384-0	FR692098	73.2	aerobic	Not indicated	Not indicated	not indicated	yes	"aesculin hydrolysis, gelatinase"	Streptomyces	pratens	BK138	Not indicated	05/09/14	Not indicated	Oct-37	Not indicated	Not indicated	yes	not indicated	not indicated	1908	KACC=20904|CGMCC=4.5800	"arabitol, maltose, melibiose, sorbitol"		positive		No
soil	2013	10.1099/ijs.0.042325-0	FR692101		aerobic			non-motile	no	"aesculin hydrolysis, gelatinase"	Actinomadura	xylanilytica	BK147	7	05-Sep	23.5	Oct-37	0		yes	not indicated	not indicated	576	KACC20919|NCIMB14771|NRRLB-24852	maltose		positive		Yes
soil	2012	10.1099/ijs.0.029991-0	FR692104	Not indicated	aerobic	0.7-0.9	0.7-0.8	not indicated	yes		Streptomyces	brevispora	BK160	Not indicated	05/09/14	Not indicated	Apr-37	Not indicated	Not indicated	NA	not indicated	chain	478	KACC=21093|NCIMB=14702	"arabitol, cellobiose, galactose, glucose, maltose, melibiose, salicin, sorbitol"		positive		No
soil	2012	10.1099/ijs.0.029991-0	FR692106	69.2	aerobic	0.7-0.8	0.7-0.8	not indicated	yes		Streptomyces	laculatispora	BK166	Not indicated	05/09/14	Not indicated	4/30/2014	Not indicated	7%	NA	not indicated	chain	478	KACC=20907|NCIMB=14703	"arabitol, cellobiose, galactose, glucose, maltose, melibiose, salicin, sorbitol"		positive		No
soil	2012	10.1099/ijs.0.029983-0	FR692107	73.2	aerobic	1.5-1.7	0.9-1.0	not indicated	yes	aesculin hydrolysis	Streptomyces	cocklensis	BK168	Not indicated	4.0-10.0	Not indicated	10/30/2014	Not indicated	Not in presence of 3% NaCl	NA	not indicated	not indicated	279	KACC=20908|NCIMB=14704	"cellobiose, glucose, maltose"		positive		No
soil	2012	10.1099/ijs.0.031922-0	FR692111	71.2	aerobic	Not indicated	Not indicated	not indicated	yes	"aesculin hydrolysis, urease positive"	Streptomyces	staurosporininus	BK179	Not indicated	04/10/14	Not indicated	10/30/2014	Not indicated	5%	NA	not indicated	not indicated	966	KACC=20912|NRRL=B-24850	"arabitol, cellobiose, maltose, mannitol, melibiose, myo-inositol, raffinose"		positive		No
soil	2013	10.1099/ijs.0.045906-0	FR692117	70.2	aerobic	0.65	0.7	not indicated	yes	"aesculin hydrolysis, catalase positive, gelatinase"	Streptomyces	viridis	BK199	7	05-Sep	30	Oct-37			yes	rod	chain	1728	KACC21003|CGMCC4.6824	"arabitol, citric acide (citrate), lactate, maltose, melibiose, sorbitol, succinic acid (succinate)"		positive		Yes
soil	2012	10.1099/ijs.0.028878-0	FR693626	39.4	aerobic	1.5-4.0	0.8	flagella	yes	"catalase positive, oxidase positive, urease positive"	Jeotgalibacillus	soli	P9	8-8.5	5.5-10.5	30-37	15-40	0-1%	Up to 9%	no	rod	not indicated	608	DSM=23228|LMG=25523	"fructose, glucose, glycerol, glycogen, maltose, mannitol, N-acetylgulcosamine, raffinose, ribose, sucrose, trehalose"		positive		No
marine sediment	2012	10.1099/ijs.0.034066-0	FR693804	71.2	aerobic	Not indicated	1-1.2	not indicated	yes	"alkaline phosphatase, catalase positive, gelatinase, oxidase positive"	Streptomyces	pharmamarensis	PM267	Not indicated	Not indicated	Not Indicated	20-30	2%	Up to 9%	yes	ovoid/coccobacillus	not indicated	1165	CECT=7841|DSM=42032	"arabinose, cellobiose, galactose, glucose, maltose, mannitol, melibiose, proline, raffinose, rhamnose, serine, sucrose, trehalose, xylose"		positive		No
plant associated	2013	10.1099/ijs.0.044958-0	FR714842		aerobic	2.5	0.9	non-motile	no	aesculin hydrolysis	Rhodococcus	cerastii	C5	7.5	6.5-10.5	30	15-50	2.5	01-Jun	yes	rod	not indicated	1024	LMG26203|CCM7906	"arabinose, galactose, leucine, melibiose, N-acetylgulcosamine, phenylacetate, putrescine, pyruvic acid (pyruvate), ribose, salicin, sorbitol, trehalose"		positive		Yes
other	2012	10.1099/ijs.0.034801-0	FR714910	33.6	aerobic	3	0.55	non-motile	not indicated	"acid phosphatase, alkaline phosphatase, catalase positive, gelatinase, oxidase positive"	Psychroflexus	halocasei	WCC 4520	7.5	6-9.5	28.5	Aug-35	7%	2.5-16%	yes	rod	not indicated	1850	LMG=25857|CCUG=59705	"alanine, asparagine, dextrin, lactate, maltose, ornithine, propionic acid (propionate), Tween 80"		negative	Cheese	No
soil	2013	10.1099/ijs.0.041442-0	FR714938	67.7	facultative anaerobe	3.5	0.9	"motile, but unspecified structure"	not indicated	"catalase positive, oxidase positive"	Rhizobium	subbaraonis	JC85	7	6-7.5	25	25-30	0	0-3	yes	rod	not indicated	581	DSM24765|KCTC23614	"fructose, glucose, glutamic acid, glycerol, malate, sorbitol, succinic acid (succinate)"		negative		Yes
soil	2012	10.1099/ijs.0.030684-0	FR729900	Not indicated	aerobic	Not indicated	Not indicated	not indicated	no	urease positive	Nocardia	grenadensis	GW5-5797	Not indicated	Not indicated	25-30	Not indicated	Not indicated	Not indicated	yes	rod	not indicated	693	CCUG=60970|CIP=110294	"3-hydroxybenzoate, adonitol, alanine, arabinose, aspartic acid (aspartate), cellobiose, fructose, galactose, histidine, malate, maltose, mannitol, mannose, melibiose, phenylacetate, phenylalanine, proline, ribose, salicin, serine, suberic acid, sucrose, trehalose, xylose"		positive		No
plant associated	2012	10.1099/ijs.0.030767-0	FR733885	Not indicated	aerobic	1.6-5.4	0.8-1.1	non-motile	not indicated	"catalase positive, oxidase positive, urease positive"	Methylobacterium	cerastii	C15	05/06/14	04/06/14	20	10/28/2014	Not indicated	0.50%	yes	rod	not indicated	917	DSM=23670|CCUG=60040|CCM=7788	"glutamic acid, N-acetylgulcosamine, putrescine"		negative		No
other	2012	10.1099/ijs.0.033001-0	FR754496	35.6	anaerobic	2.75	0.6	not indicated	not indicated		Hippea	jasoniae	Mar08-272r	4.75	3.5-5	62.5	40-72	Not indicated	1-6%	NA	rod	not indicated	1252	DSM=24585|OCM=985	"acetate, propionic acid (propionate), succinic acid (succinate)"		negative	Hydrothermal vent	No
other	2012	10.1099/ijs.0.033001-0	FR754508	37.1	anaerobic	1.1	0.45	non-motile	not indicated		Hippea	Alviniae	EP5-r	4.75	3.5-5.5	60	45-75	Not indicated	1-5%	NA	ovoid/coccobacillus	not indicated	1252	DSM=24586|OCM=986	"acetate, propionic acid (propionate), succinic acid (succinate)"		negative	Hydrothermal vent	No
marine sediment	2012	10.1099/ijs.0.032441-0	FR773700	Not determined	aerobic	2	1	not indicated	no	"aesculin hydrolysis, oxidase positive"	Massilia	oculi	CCUG 43427A	Not indicated	5.5-10.5	Not indicated	15-37	Not indicated	Not indicated	yes	rod	not indicated	364	CCM=7900	"3-hydroxybutyrate, alanine, arabinose, glucose, proline, propionic acid (propionate), rhamnose, serine, trisodium citrate"		negative	Human - ocular	No
estuarine water	2012	10.1099/ijs.0.038356-0	FR774044	46.1	aerobic	1.5	0.6	non-motile	no	"aesculin hydrolysis, oxidase positive, urease positive"	Imtechella	halotolerans	K1	7.5	06-Sep	33.5	20-45	3	0-12	yes	rod		2624	MTCC=11055|JCM=17677	"acetate, alanine, alanine, alpha-cyclodextrin, alpha-ketovaleric acid, asparagine, aspartic acid (aspartate), carnitine, dextrin, glutamic acid, glycogen, leucine, ornithine, proline, propionic acid (propionate), serine, succinic acid (succinate), threonine, thymidine, uridine"		negative		No
other	2012	10.1099/ijs.0.034819-0	FR774763	54.1	aerobic	2.25	0.75	non-motile	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, catalase positive"	Acidicapsa	borealis	KA1	5.25	3.5-7.3	25	Oct-33	Not indicated	Not indicated	yes	rod	not indicated	1512	DSM=23886|LMG=25897|VKM=B-2678	"arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sucrose, trehalose, xylose"		negative	Decaying wood and peat	No
soil	2013	10.1099/ijs.0.039404-0	FR774778	49.9	aerobic	3.75	0.5	gliding	no	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Chryseolinea	serpens	RYG		5.6-7.7		13-37		0-1	yes	rod		654	DSM24574|ATCCBAA-2075	"acetate, asparagine, aspartic acid (aspartate), cellobiose, dextrin, fructose, galactose, gluconic acid, glucuronamide, glucose, glutamic acid, glycerol, glycogen, hyroxl-proline, lactate, lactose, maltose, mannose, melibiose, methyl beta-D-glucoside, N-acetylgulcosamine, proline, raffinose, sucrose, threonine, trehalose"		negative		Yes
other	2012	10.1099/ijs.0.033431-0	FR774915		aerobic	2.5	0.9	gliding	no	"gelatinase, oxidase positive"	Flavobacterium	chilense	LM-09-Fp	7.5	6.5-8.5	26.5	4/30/2014	Not required for growth	0-3%	yes	rod	not indicated	1402	LMG=26360|CCM=7940	"alanine, arabinose, cellobiose, fructose, galactose, gluconic acid, glucose, malate, maltose, mannitol, mannose, melibiose, N-acetylgulcosamine, ornithine, pyruvic acid (pyruvate), rhamnose, ribose, sorbitol, sucrose, trehalose, xylose"		negative	Fish	No
other	2012	10.1099/ijs.0.033431-0	FR774916		aerobic	1.25	0.9	gliding	no	"aesculin hydrolysis, gelatinase, H2S production, indole production, oxidase positive"	Flavobacterium	araucananum	LM-19-Fp	7.5	6.5-8.5	27.5	4/30/2014	Not indicated	0-3%	yes	rod	not indicated	1402	LMG=26359|CCM=7939	"alanine, arabinose, cellobiose, galactose, gluconic acid, glucose, maltose, mannitol, mannose, melibiose, N-acetylgulcosamine, ornithine, pyruvic acid (pyruvate), ribose, sorbitol, sucrose, trehalose, xylose"		negative	Fish	No
plant associated	2012	10.1099/ijs.0.035477-0	FR774992	66.9	NA	1.35	0.8	"motile, but unspecified structure"	not indicated	"catalase positive, oxidase positive, urease positive"	Bosea	lupini	 LMG 26383				"25, 28, 33"			yes	rod	not indicated	2505	CCUG=61248	"adipate, arabinose, glucose, mannose"		negative		No
plant associated	2012	10.1099/ijs.0.035477-0	FR774993	66.4	NA	1.6	0.7	"motile, but unspecified structure"	not indicated	"catalase positive, nitrate reduction to nitrite, oxidase positive, urease positive"	Bosea	lathyri	LMG 26379				"25, 28, 33"			yes	rod	not indicated	2505	CCUG=61247	"adipate, mannose"		negative		No
plant associated	2012	10.1099/ijs.0.035477-0	FR774994	65	NA	1.25	0.8	"motile, but unspecified structure"	not indicated	"catalase positive, nitrate reduction to nitrite, oxidase positive"	Bosea	robiniae	LMG 26381				"25, 28, 33"			yes	rod	not indicated	2505	CCUG=61249			negative		No
plant associated	2013	10.1099/ijs.0.045229-0	FR799325		aerobic	2.75	1	flagella	no	"catalase positive, oxidase positive, urease positive"	Azorhizobium	oxalatiphilum	DSM 18749				Oct-36	2		no	rod	chain	1505	DSM18749|CCM7897	"alanine, alanine, citric acide (citrate), galcturonic acid, gluconic acid, glutamic acid, glycerol, lactate, malate, propionic acid (propionate), pyruvic acid (pyruvate), succinic acid (succinate)"		negative		Yes
other	2012	10.1099/ijs.0.032557-0	FR821260	Not indicated	aerobic	Not indicated	1.0-1.5	not indicated	no	"catalase positive, oxidase positive"	Dietzia	Aurantiaca	CCUG 35676	07/08/14	5.5-12.5	30	Apr-37	Not indicated	Up to 12%	yes	cocci	not indicated	484	JCM=17645	"arabinose, cellobiose, glucose, N-acetylgulcosamine, sucrose"		positive	cerebrospinal fluid	No
soil	2012	10.1099/ijs.0.034512-0	FR822983		NA		2.75	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Microbulbifer	taiwanensis	CC-LN1-12			28		3.5	Up to 7%	yes	rod	not indicated	2485	LMG=26125|CCM=7856			negative		No
seawater	2013	10.1099/ijs.0.046524-0	FR827898	36.3	aerobic	1.25	0.25	non-motile	not indicated	"acid phosphatase, alpha-galactosidase, nitrate reduction to nitrite, urease positive"	Flavobacterium	nitratireducens	N1	8	07-Sep	33.5	15-37		0-1	yes	rod	chain	2490	MTCC11155|JCM17678	"glucose, maltose, mannose, sucrose, trehalose"		negative		Yes
hotspring	2013	10.1099/ijs.0.044966-0	FR828537		aerobic	0.9	0.5	non-motile	not indicated	oxidase positive	Stappia	taiwanensis	CC-SPIO-10	7	6.5-11.5	27.5	Oct-45	2.5	01-Jun	yes	rod	clump	1350	CCUG59208|LMG25538|CCM7757	"3-hydroxybutyrate, acetate, arabinose, citric acide (citrate), galactose, glucose, lactate, malate, N-acetylgulcosamine, propionic acid (propionate), pyruvic acid (pyruvate), ribose"		negative		Yes
other	2013	doi: 10.1099/ijs.0.036434-0	FR832424	70.4	aerobic	1.15	1.15	non-motile	no	"catalase positive, gelatinase, oxidase positive, urease positive"	Micrococcus	cohnii	WS4601	8	07/09/14	26	15-37	5	0-10	yes	cocci	not indicated	80	ду_DSM23974|LMG26183	"arabinose, glucose, maltose, mannitol, mannose, melibiose, rhamnose, sorbitol, sucrose, trehalose"		positive	air in a medical practice	Yes
other	2012	10.1099/ijs.0.037218-0	FR832425	67.7	aerobic		1.15	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive, urease positive"	Naumannella	halotolerans	WS4616		06-Aug		15-37		0-10	yes	cocci		3042	DSM=24323|LMG=26184	"adonitol, arabinose, arabitol, fructose, galactose, glucose, glycerol, maltose, mannitol, mannose, ribose, sorbitol, sucrose, trehalose"		positive	"Pharmaceutical clean room, food"	No
other	2013	doi: 10.1099/ijs.0.036434-0	FR832427	70.4	aerobic	1.15	1.15	non-motile	no	"catalase positive, gelatinase, oxidase positive, urease positive"	Micrococcus	cohnii	WS4602	8	07/09/14	26	15-37	5	0-10	yes	cocci	not indicated	80	DSM23974|ду_LMG26183	"glucose, maltose, sucrose, trehalose"		positive	air in a medical practice	Yes
other	2013	 doi: 10.1099/ijs.0.036434-0	FR832429	70.4	aerobic	1.15	1.15	non-motile	no	"catalase positive, gelatinase, oxidase positive, urease positive"	Micrococcus	cohnii	WS4599	8	07/09/14	26	15-37	5	0-10	yes	cocci	not indicated	80	DSM23974|LMG26183	"glucose, maltose, sucrose, trehalose"		positive	air in a pharmaceutical clean room	Yes
hotspring	2013	10.1099/ijs.0.047910-0	FR832879		aerobic	3.5	1.1	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Ruegeria	intermedia	CC-GIMAT-2	8	5.0-10.0	41	15-55	1.5	01-Apr	yes	rod	clump	2538	CCUG59209|LMG25539|CCM7758	"galactose, glucose"		negative		Yes
plant associated	2013	10.1099/ijs.0.047555-0	FR839617		NA	5	3.5	not indicated	no		Candida	ecuadorensis	CLQCA 20-004			25	25-30	10		NA	ovoid/coccobacillus	chain	393	CBS12653|NCYC3782	"arabinose, cellobiose, citric acide (citrate), ethanol, galactose, glucosamine, glucose, glycerol, maltose, mannitol, raffinose, rhamnose, salicin, succinic acid (succinate), sucrose, trehalose, xylitol, xylose"	MB801370	NA		Yes
other	2012	10.1099/ijs.0.037150-0	FR846134	Not indicated	microerophile	1.5	0.5	non-motile	no	alkaline phosphatase	Arcanobacterium	canis	P6775	Not indicated	Not indicated	Not indicated	Not indicated	Not indicated	Not indicated	NA	rod	not indicated	2201	CCM=7958|CCUG=61573|CIP=110339			positive	Dog - otitis externa	No
plant associated	2013	10.1099/ijs.0.047787-0	FR847844		aerobic	2.9	0.85	non-motile	not indicated	"catalase positive, oxidase positive, urease positive"	Methylobacterium	trifolii	TA73	6.1	4.0-8.0	20	Oct-28	0		yes	rod	clump	2690	LMG25778|CCM7786	"citric acide (citrate), glutamic acid, lactate, malate, pyruvic acid (pyruvate), ribose"		negative		Yes
plant associated	2013	10.1099/ijs.0.047787-0	FR847848		aerobic	3.75	0.8	non-motile	not indicated	"catalase positive, oxidase positive, urease positive"	Methylobacterium	thuringiense	C34	6.1	4.0-10.0	20.5	Oct-28	0		yes	rod	clump	2690	LMG25777|CCM7787	"3-hydroxybenzoate, 3-hydroxybutyrate, 3-hydroxybenzoate, ethanol, lactate, malate, mannitol, N-acetylgulcosamine, phenylalanine, propionic acid (propionate), putrescine, pyruvic acid (pyruvate), ribose, sorbitol"		negative		Yes
plant associated	2013	10.1099/ijs.0.036830-0	FR850019	41.8	anaerobic	3.25	0.45	"motile, but unspecified structure"	no	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite"	Listeria	weihenstephanensis	WS 4560	7.5		31	15-34		0-6.5	yes	rod	not indicated	641	DSM24698|LMG26374	"5-ketoguconate, arabitol, cellobiose, fructose, glucose, glycerol, glycogen, lactose, maltose, mannitol, mannose, N-acetylgulcosamine, rhamnose, ribose, salicin, trehalose, xylitol, xylose"		positive		Yes
wastewater	2012	10.1099/ijs.0.034603-0	FR851323	38.2	microerophile	3.5	0.5	"motile, but unspecified structure"	no		Fusibacter	tunisiensis	BELH1	7	5.8-8.4	30	15-40	3%	0-10%	NA	rod	not indicated	1365	DSM=24436|JCM=17481	"glucose, maltose, sucrose, trehalose"		NA		No
